time	V(vin)	V(vout)
2.454829261546332e-001	3.800184e-002	2.633746e-002
2.461159618689189e-001	3.414654e-002	2.247360e-002
2.467489975832045e-001	3.026860e-002	1.858860e-002
2.473820332974901e-001	2.636802e-002	1.468247e-002
2.480150690117758e-001	2.244479e-002	1.075520e-002
2.486481047260614e-001	1.849892e-002	6.806805e-003
2.492811404403471e-001	1.453040e-002	2.837276e-003
2.499141761546327e-001	1.053924e-002	-1.153386e-003
2.505427475832041e-001	6.575232e-003	-5.115353e-003
2.511713190117754e-001	2.631846e-003	-9.055219e-003
2.517998904403468e-001	-1.290919e-003	-1.297298e-002
2.524284618689182e-001	-5.193062e-003	-1.686864e-002
2.530570332974895e-001	-9.074584e-003	-2.074220e-002
2.536856047260609e-001	-1.293549e-002	-2.459366e-002
2.543141761546323e-001	-1.677576e-002	-2.842302e-002
2.553713190117750e-001	-2.317660e-002	-3.480196e-002
2.564284618689177e-001	-2.936564e-002	-4.096547e-002
2.574856047260605e-001	-3.534289e-002	-4.691354e-002
2.585427475832032e-001	-4.110834e-002	-5.264618e-002
2.595998904403460e-001	-4.666200e-002	-5.816338e-002
2.606570332974887e-001	-5.200386e-002	-6.346515e-002
2.617141761546314e-001	-5.713394e-002	-6.855148e-002
2.634998904403456e-001	-6.517521e-002	-7.650964e-002
2.652856047260596e-001	-7.209526e-002	-8.334180e-002
2.670713190117737e-001	-7.789409e-002	-8.904794e-002
2.688570332974878e-001	-8.257169e-002	-9.362808e-002
2.706427475832019e-001	-8.612807e-002	-9.708222e-002
2.724284618689160e-001	-8.856322e-002	-9.941034e-002
2.742141761546301e-001	-8.987714e-002	-1.006125e-001
2.761141761546299e-001	-8.962401e-002	-1.002397e-001
2.780141761546296e-001	-8.806334e-002	-9.856461e-002
2.799141761546294e-001	-8.519513e-002	-9.558726e-002
2.818141761546292e-001	-8.101939e-002	-9.130761e-002
2.837141761546290e-001	-7.553612e-002	-8.572568e-002
2.856141761546288e-001	-6.874531e-002	-7.884146e-002
2.875141761546286e-001	-6.064697e-002	-7.065496e-002
2.886141761546285e-001	-5.552167e-002	-6.548482e-002
2.897141761546284e-001	-5.015108e-002	-6.007338e-002
2.908141761546282e-001	-4.453520e-002	-5.442064e-002
2.919141761546281e-001	-3.867404e-002	-4.852661e-002
2.930141761546280e-001	-3.256758e-002	-4.239127e-002
2.941141761546279e-001	-2.621584e-002	-3.601464e-002
2.952141761546278e-001	-1.961880e-002	-2.939671e-002
2.955713190117706e-001	-1.746550e-002	-2.723769e-002
2.959284618689134e-001	-1.530110e-002	-2.506805e-002
2.962856047260562e-001	-1.312561e-002	-2.288779e-002
2.966427475831990e-001	-1.093904e-002	-2.069693e-002
2.969998904403419e-001	-8.741378e-003	-1.849545e-002
2.973570332974846e-001	-6.532628e-003	-1.628336e-002
2.977141761546275e-001	-4.312789e-003	-1.406066e-002
2.978141761546275e-001	-3.690667e-003	-1.343782e-002
2.983228396590917e-001	-5.090936e-004	-1.025320e-002
2.988315031635559e-001	2.674722e-003	-7.067318e-003
2.993401666680202e-001	5.860779e-003	-3.880179e-003
2.998488301724844e-001	9.049078e-003	-6.917835e-004
3.003574936769487e-001	1.223962e-002	2.497871e-003
3.008661571814129e-001	1.543240e-002	5.688782e-003
3.013748206858772e-001	1.862743e-002	8.880952e-003
3.022891064001628e-001	2.437886e-002	1.462467e-002
3.032033921144484e-001	3.003709e-002	2.027218e-002
3.041176778287340e-001	3.560212e-002	2.582348e-002
3.050319635430197e-001	4.107396e-002	3.127857e-002
3.059462492573052e-001	4.645260e-002	3.663746e-002
3.068605349715909e-001	5.173804e-002	4.190014e-002
3.077748206858765e-001	5.693029e-002	4.706661e-002
3.092462492573049e-001	6.502282e-002	5.511080e-002
3.107176778287333e-001	7.250121e-002	6.253541e-002
3.121891064001617e-001	7.936545e-002	6.934045e-002
3.136605349715901e-001	8.561555e-002	7.552592e-002
3.151319635430185e-001	9.125150e-002	8.109181e-002
3.166033921144469e-001	9.627331e-002	8.603813e-002
3.180748206858753e-001	1.006810e-001	9.036487e-002
3.206462492573036e-001	1.062217e-001	9.574946e-002
3.232176778287319e-001	1.092521e-001	9.862766e-002
3.257891064001602e-001	1.097723e-001	9.899949e-002
3.283605349715885e-001	1.077821e-001	9.686495e-002
3.309319635430168e-001	1.032817e-001	9.222403e-002
3.335033921144451e-001	9.627102e-002	8.507673e-002
3.360748206858734e-001	8.675005e-002	7.542305e-002
3.373176778287303e-001	8.142011e-002	7.003879e-002
3.385605349715874e-001	7.574748e-002	6.431674e-002
3.398033921144444e-001	6.973214e-002	5.825690e-002
3.410462492573014e-001	6.337411e-002	5.185927e-002
3.422891064001584e-001	5.667338e-002	4.512386e-002
3.435319635430154e-001	4.962996e-002	3.805066e-002
3.447748206858724e-001	4.224384e-002	3.063967e-002
3.454766064001580e-001	3.801895e-002	2.640351e-002
3.461783921144437e-001	3.376049e-002	2.213562e-002
3.468801778287293e-001	2.946844e-002	1.783600e-002
3.475819635430150e-001	2.514282e-002	1.350465e-002
3.482837492573006e-001	2.078363e-002	9.141579e-003
3.489855349715862e-001	1.639085e-002	4.746776e-003
3.496873206858719e-001	1.196449e-002	3.202438e-004
3.503502671144432e-001	7.781492e-003	-3.861150e-003
3.510132135430146e-001	3.620270e-003	-8.019115e-003
